
=== College GIC-cap atom (strip: GPF_in>1, production): beta=1.005369  P_Gamma=0.999635  Rcal*P_Gamma=1.004713
    anchors: q_det(psi=1)=13.871   q*(Kesten)=1.3739   min(1,q*)=1.0000
    MPCmin=0.005418  hNrm=196.85  top-drift E[dln a]=+0.001036/qtr (=+0.41%/yr; e-folds per 40y life: +0.166)
             m      gap/c  Q_local
             7   5.71e-01    0.909
             9   5.53e-01    0.888
            12   5.31e-01    0.864
            15   5.05e-01    0.837
            20   4.74e-01    0.807
            27   4.38e-01    0.773
            36   3.97e-01    0.739
            48   3.54e-01    0.705
            63   3.08e-01    0.672
            84   2.62e-01    0.643
           111   2.17e-01    0.618
           148   1.75e-01    0.598
           196   1.38e-01    0.583
           260   1.06e-01    0.573
           344   7.89e-02    0.566
           456   5.76e-02    0.561
           605   4.12e-02    0.558
           802   2.89e-02    0.561
          1064   1.99e-02    0.565
          1410   1.35e-02    0.570
          1870   9.07e-03    0.580
          2479   6.00e-03    0.586
          3287   3.94e-03    0.592
          4359   2.56e-03    0.603
          5779   1.66e-03    0.609
          7663   1.06e-03    0.612
         10161   6.82e-04    0.617
         13472   4.35e-04    0.622
         17863   2.76e-04    0.624
         23685   1.76e-04    0.621
         31404   1.12e-04    0.621
         41639   7.08e-05    0.626
         55210   4.48e-05    0.626
         73204   2.84e-05    0.621
         97063   1.80e-05    0.628
        128698   1.14e-05    0.629
        170643   7.19e-06    0.640
        226258   4.50e-06    0.669

=== College atom #4 (subcritical bulk): beta=0.991900  P_Gamma=0.992916  Rcal*P_Gamma=0.997960
    anchors: q_det(psi=1)=0.713   q*(Kesten)=0.5463   min(1,q*)=0.5463
    MPCmin=0.012103  hNrm=196.76  top-drift E[dln a]=-0.005708/qtr (=-2.28%/yr; e-folds per 40y life: -0.913)
             m      gap/c  Q_local
             7   1.08e+00    2.368
             9   1.01e+00    1.870
            12   9.37e-01    1.507
            15   8.64e-01    1.238
            20   7.88e-01    1.034
            27   7.11e-01    0.880
            36   6.32e-01    0.762
            48   5.52e-01    0.671
            63   4.74e-01    0.599
            84   3.99e-01    0.544
           111   3.29e-01    0.501
           148   2.66e-01    0.467
           196   2.10e-01    0.443
           260   1.63e-01    0.423
           344   1.24e-01    0.410
           456   9.22e-02    0.401
           605   6.76e-02    0.395
           802   4.89e-02    0.393
          1064   3.49e-02    0.390
          1410   2.47e-02    0.389
          1870   1.73e-02    0.391
          2479   1.20e-02    0.392
          3287   8.27e-03    0.393
          4359   5.68e-03    0.396
          5779   3.88e-03    0.398
          7663   2.64e-03    0.398
         10161   1.79e-03    0.398
         13472   1.22e-03    0.399
         17863   8.23e-04    0.398
         23685   5.57e-04    0.395
         31404   3.77e-04    0.395
         41639   2.55e-04    0.397
         55210   1.72e-04    0.394
         73204   1.16e-04    0.390
         97063   7.87e-05    0.391
        128698   5.32e-05    0.388
        170643   3.60e-05    0.386
        226258   2.43e-05    0.386
