bigT,splurge,policy,regime,mult_h20
200,0.15,transfers,taylor,0.894944
200,0.15,transfers,fixed_real,1.102746
200,0.15,transfers,fixed_nominal,0.551636
200,0.15,UI_extensions,taylor,0.934949
200,0.15,UI_extensions,fixed_real,1.090453
200,0.15,UI_extensions,fixed_nominal,0.694972
200,0.15,tax_cut,taylor,0.957305
200,0.15,tax_cut,fixed_real,1.228756
200,0.15,tax_cut,fixed_nominal,0.596968
200,0.299869842312644,transfers,taylor,1.011684
200,0.299869842312644,transfers,fixed_real,1.214532
200,0.299869842312644,transfers,fixed_nominal,0.736243
200,0.299869842312644,UI_extensions,taylor,1.016942
200,0.299869842312644,UI_extensions,fixed_real,1.181330
200,0.299869842312644,UI_extensions,fixed_nominal,0.787870
200,0.299869842312644,tax_cut,taylor,1.068306
200,0.299869842312644,tax_cut,fixed_real,1.344048
200,0.299869842312644,tax_cut,fixed_nominal,0.729800
200,0.45,transfers,taylor,1.132824
200,0.45,transfers,fixed_real,1.336619
200,0.45,transfers,fixed_nominal,0.926570
200,0.45,UI_extensions,taylor,1.100836
200,0.45,UI_extensions,fixed_real,1.279502
200,0.45,UI_extensions,fixed_nominal,0.880037
200,0.45,tax_cut,taylor,1.185184
200,0.45,tax_cut,fixed_real,1.469254
200,0.45,tax_cut,fixed_nominal,0.863519
450,0.15,transfers,taylor,0.906006
450,0.15,transfers,fixed_real,1.112390
450,0.15,transfers,fixed_nominal,2.124992
450,0.15,UI_extensions,taylor,0.945954
450,0.15,UI_extensions,fixed_real,1.100081
450,0.15,UI_extensions,fixed_nominal,1.873422
450,0.15,tax_cut,taylor,0.968427
450,0.15,tax_cut,fixed_real,1.238939
450,0.15,tax_cut,fixed_nominal,2.394255
450,0.299869842312644,transfers,taylor,1.033438
450,0.299869842312644,transfers,fixed_real,1.235461
450,0.299869842312644,transfers,fixed_nominal,2.370417
450,0.299869842312644,UI_extensions,taylor,1.038090
450,0.299869842312644,UI_extensions,fixed_real,1.201592
450,0.299869842312644,UI_extensions,fixed_nominal,2.118361
450,0.299869842312644,tax_cut,taylor,1.089722
450,0.299869842312644,tax_cut,fixed_real,1.365452
450,0.299869842312644,tax_cut,fixed_nominal,2.740097
450,0.45,transfers,taylor,1.166250
450,0.45,transfers,fixed_real,1.369845
450,0.45,transfers,fixed_nominal,2.720075
450,0.45,UI_extensions,taylor,1.132702
450,0.45,UI_extensions,fixed_real,1.311104
450,0.45,UI_extensions,fixed_nominal,2.504440
450,0.45,tax_cut,taylor,1.217783
450,0.45,tax_cut,fixed_real,1.502827
450,0.45,tax_cut,fixed_nominal,3.288512
