fn_index,bigT,phi_pi,policy,regime,mult_h20
legacy,200,0,transfers,taylor,0.985193
legacy,200,0,transfers,fixed_real,1.223213
legacy,200,0,transfers,fixed_nominal,0.737726
legacy,200,0,UI_extensions,taylor,1.213894
legacy,200,0,UI_extensions,fixed_real,1.425564
legacy,200,0,UI_extensions,fixed_nominal,0.988422
legacy,200,0,tax_cut,taylor,1.085719
legacy,200,0,tax_cut,fixed_real,1.389103
legacy,200,0,tax_cut,fixed_nominal,0.764842
legacy,450,0,transfers,taylor,1.007206
legacy,450,0,transfers,fixed_real,1.244142
legacy,450,0,transfers,fixed_nominal,2.690433
legacy,450,0,UI_extensions,taylor,1.235166
legacy,450,0,UI_extensions,fixed_real,1.445847
legacy,450,0,UI_extensions,fixed_nominal,2.718361
legacy,450,0,tax_cut,taylor,1.107418
legacy,450,0,tax_cut,fixed_real,1.410625
legacy,450,0,tax_cut,fixed_nominal,3.212399
legacy,600,0,transfers,taylor,1.008872
legacy,600,0,transfers,fixed_real,1.245674
legacy,600,0,transfers,fixed_nominal,1.780827
legacy,600,0,UI_extensions,taylor,1.236775
legacy,600,0,UI_extensions,fixed_real,1.447332
legacy,600,0,UI_extensions,fixed_nominal,1.916010
legacy,600,0,tax_cut,taylor,1.109083
legacy,600,0,tax_cut,fixed_real,1.412196
legacy,600,0,tax_cut,fixed_nominal,2.075242
fixed,200,0,transfers,taylor,1.011684
fixed,200,0,transfers,fixed_real,1.214532
fixed,200,0,transfers,fixed_nominal,0.736243
fixed,200,0,UI_extensions,taylor,1.016942
fixed,200,0,UI_extensions,fixed_real,1.181330
fixed,200,0,UI_extensions,fixed_nominal,0.787870
fixed,200,0,tax_cut,taylor,1.068306
fixed,200,0,tax_cut,fixed_real,1.344048
fixed,200,0,tax_cut,fixed_nominal,0.729800
fixed,450,0,transfers,taylor,1.033438
fixed,450,0,transfers,fixed_real,1.235461
fixed,450,0,transfers,fixed_nominal,2.370417
fixed,450,0,UI_extensions,taylor,1.038090
fixed,450,0,UI_extensions,fixed_real,1.201592
fixed,450,0,UI_extensions,fixed_nominal,2.118361
fixed,450,0,tax_cut,taylor,1.089722
fixed,450,0,tax_cut,fixed_real,1.365452
fixed,450,0,tax_cut,fixed_nominal,2.740097
fixed,600,0,transfers,taylor,1.035093
fixed,600,0,transfers,fixed_real,1.236992
fixed,600,0,transfers,fixed_nominal,1.671918
fixed,600,0,UI_extensions,taylor,1.039694
fixed,600,0,UI_extensions,fixed_real,1.203076
fixed,600,0,UI_extensions,fixed_nominal,1.552998
fixed,600,0,tax_cut,taylor,1.091374
fixed,600,0,tax_cut,fixed_real,1.367014
fixed,600,0,tax_cut,fixed_nominal,1.883332
