fn_index,splurge,policy,regime,mult_h20
legacy,0,transfers,taylor,0.769608
legacy,0,transfers,fixed_real,1.007842
legacy,0,transfers,fixed_nominal,-0.483482
legacy,0,UI_extensions,taylor,1.045100
legacy,0,UI_extensions,fixed_real,1.240593
legacy,0,UI_extensions,fixed_nominal,0.122536
legacy,0,tax_cut,taylor,0.869131
legacy,0,tax_cut,fixed_real,1.160818
legacy,0,tax_cut,fixed_nominal,-0.436095
legacy,0.135,transfers,taylor,0.869490
legacy,0.135,transfers,fixed_real,1.106458
legacy,0.135,transfers,fixed_nominal,-0.063056
legacy,0.135,UI_extensions,taylor,1.124967
legacy,0.135,UI_extensions,fixed_real,1.326327
legacy,0.135,UI_extensions,fixed_nominal,0.390721
legacy,0.135,tax_cut,taylor,0.969465
legacy,0.135,tax_cut,fixed_real,1.265405
legacy,0.135,tax_cut,fixed_nominal,-0.069874
legacy,0.2703537,transfers,taylor,0.976033
legacy,0.2703537,transfers,fixed_real,1.212977
legacy,0.2703537,transfers,fixed_nominal,0.286180
legacy,0.2703537,UI_extensions,taylor,1.209291
legacy,0.2703537,UI_extensions,fixed_real,1.418305
legacy,0.2703537,UI_extensions,fixed_nominal,0.611105
legacy,0.2703537,tax_cut,taylor,1.076203
legacy,0.2703537,tax_cut,fixed_real,1.377963
legacy,0.2703537,tax_cut,fixed_nominal,0.229627
legacy,0.4,transfers,taylor,1.082187
legacy,0.4,transfers,fixed_real,1.323064
legacy,0.4,transfers,fixed_nominal,0.579258
legacy,0.4,UI_extensions,taylor,1.293153
legacy,0.4,UI_extensions,fixed_real,1.512676
legacy,0.4,UI_extensions,fixed_nominal,0.793377
legacy,0.4,tax_cut,taylor,1.183714
legacy,0.4,tax_cut,fixed_real,1.493821
legacy,0.4,tax_cut,fixed_nominal,0.476273
legacy,0.6,transfers,taylor,1.228516
legacy,0.6,transfers,fixed_real,1.510730
legacy,0.6,transfers,fixed_nominal,0.985913
legacy,0.6,UI_extensions,taylor,1.417502
legacy,0.6,UI_extensions,fixed_real,1.671910
legacy,0.6,UI_extensions,fixed_nominal,1.040332
legacy,0.6,tax_cut,taylor,1.350168
legacy,0.6,tax_cut,fixed_real,1.690166
legacy,0.6,tax_cut,fixed_nominal,0.808914
fixed,0,transfers,taylor,0.786691
fixed,0,transfers,fixed_real,0.999120
fixed,0,transfers,fixed_nominal,-0.516603
fixed,0,UI_extensions,taylor,0.857669
fixed,0,UI_extensions,fixed_real,1.005564
fixed,0,UI_extensions,fixed_nominal,-0.017644
fixed,0,tax_cut,taylor,0.854043
fixed,0,tax_cut,fixed_real,1.121791
fixed,0,tax_cut,fixed_nominal,-0.479187
fixed,0.135,transfers,taylor,0.890376
fixed,0.135,transfers,fixed_real,1.097789
fixed,0.135,transfers,fixed_nominal,-0.076538
fixed,0.135,UI_extensions,taylor,0.933645
fixed,0.135,UI_extensions,fixed_real,1.087486
fixed,0.135,UI_extensions,fixed_nominal,0.237080
fixed,0.135,tax_cut,taylor,0.953314
fixed,0.135,tax_cut,fixed_real,1.223829
fixed,0.135,tax_cut,fixed_nominal,-0.100909
fixed,0.2703537,transfers,taylor,1.001290
fixed,0.2703537,transfers,fixed_real,1.204304
fixed,0.2703537,transfers,fixed_nominal,0.281025
fixed,0.2703537,UI_extensions,taylor,1.013366
fixed,0.2703537,UI_extensions,fixed_real,1.175092
fixed,0.2703537,UI_extensions,fixed_nominal,0.440424
fixed,0.2703537,tax_cut,taylor,1.058863
fixed,0.2703537,tax_cut,fixed_real,1.333504
fixed,0.2703537,tax_cut,fixed_nominal,0.200398
fixed,0.4,transfers,taylor,1.112409
fixed,0.4,transfers,fixed_real,1.314318
fixed,0.4,transfers,fixed_nominal,0.576852
fixed,0.4,UI_extensions,taylor,1.091986
fixed,0.4,UI_extensions,fixed_real,1.264663
fixed,0.4,UI_extensions,fixed_nominal,0.604694
fixed,0.4,tax_cut,taylor,1.165166
fixed,0.4,tax_cut,fixed_real,1.446240
fixed,0.4,tax_cut,fixed_nominal,0.443791
fixed,0.6,transfers,taylor,1.269671
fixed,0.6,transfers,fixed_real,1.501686
fixed,0.6,transfers,fixed_nominal,0.982812
fixed,0.6,UI_extensions,taylor,1.206328
fixed,0.6,UI_extensions,fixed_real,1.415062
fixed,0.6,UI_extensions,fixed_nominal,0.821409
fixed,0.6,tax_cut,taylor,1.330325
fixed,0.6,tax_cut,fixed_real,1.636923
fixed,0.6,tax_cut,fixed_nominal,0.766040
