fn_index,splurge,policy,regime,mult_h20
fixed,0.02,transfers,taylor,0.801608
fixed,0.02,transfers,fixed_real,1.013293
fixed,0.02,transfers,fixed_nominal,-0.444123
fixed,0.02,UI_extensions,taylor,0.868690
fixed,0.02,UI_extensions,fixed_real,1.017377
fixed,0.02,UI_extensions,fixed_nominal,0.024545
fixed,0.02,tax_cut,taylor,0.868378
fixed,0.02,tax_cut,fixed_real,1.136474
fixed,0.02,tax_cut,fixed_nominal,-0.416452
fixed,0.05,transfers,taylor,0.824271
fixed,0.05,transfers,fixed_real,1.034836
fixed,0.05,transfers,fixed_nominal,-0.340734
fixed,0.05,UI_extensions,taylor,0.885375
fixed,0.05,UI_extensions,fixed_real,1.035303
fixed,0.05,UI_extensions,fixed_nominal,0.084585
fixed,0.05,tax_cut,taylor,0.890120
fixed,0.05,tax_cut,fixed_real,1.158775
fixed,0.05,tax_cut,fixed_nominal,-0.327229
fixed,0.08,transfers,taylor,0.847282
fixed,0.08,transfers,fixed_real,1.056726
fixed,0.08,transfers,fixed_nominal,-0.243041
fixed,0.08,UI_extensions,taylor,0.902244
fixed,0.08,UI_extensions,fixed_real,1.053482
fixed,0.08,UI_extensions,fixed_nominal,0.141145
fixed,0.08,tax_cut,taylor,0.912153
fixed,0.08,tax_cut,fixed_real,1.181415
fixed,0.08,tax_cut,fixed_nominal,-0.243240
fixed,0.11,transfers,taylor,0.870642
fixed,0.11,transfers,fixed_real,1.078972
fixed,0.11,transfers,fixed_nominal,-0.150363
fixed,0.11,UI_extensions,taylor,0.919296
fixed,0.11,UI_extensions,fixed_real,1.071920
fixed,0.11,UI_extensions,fixed_nominal,0.194623
fixed,0.11,tax_cut,taylor,0.934480
fixed,0.11,tax_cut,fixed_real,1.204402
fixed,0.11,tax_cut,fixed_nominal,-0.163881
fixed,0.16,transfers,taylor,0.910352
fixed,0.16,transfers,fixed_real,1.116864
fixed,0.16,transfers,fixed_nominal,-0.005493
fixed,0.16,UI_extensions,taylor,0.948117
fixed,0.16,UI_extensions,fixed_real,1.103239
fixed,0.16,UI_extensions,fixed_nominal,0.277805
fixed,0.16,tax_cut,taylor,0.972354
fixed,0.16,tax_cut,fixed_real,1.243508
fixed,0.16,tax_cut,fixed_nominal,-0.040531
fixed,0.20,transfers,taylor,0.942808
fixed,0.20,transfers,fixed_real,1.147937
fixed,0.20,transfers,fixed_nominal,0.103043
fixed,0.20,UI_extensions,taylor,0.971520
fixed,0.20,UI_extensions,fixed_real,1.128840
fixed,0.20,UI_extensions,fixed_nominal,0.339738
fixed,0.20,tax_cut,taylor,1.003250
fixed,0.20,tax_cut,fixed_real,1.275528
fixed,0.20,tax_cut,fixed_nominal,0.051250
fixed,0.24,transfers,taylor,0.975851
fixed,0.24,transfers,fixed_real,1.179711
fixed,0.24,transfers,fixed_nominal,0.206056
fixed,0.24,UI_extensions,taylor,0.995213
fixed,0.24,UI_extensions,fixed_real,1.154941
fixed,0.24,UI_extensions,fixed_nominal,0.398158
fixed,0.24,tax_cut,taylor,1.034673
fixed,0.24,tax_cut,fixed_real,1.308226
fixed,0.24,tax_cut,fixed_nominal,0.137794
fixed,0.299869842312644,transfers,taylor,1.026297
fixed,0.299869842312644,transfers,fixed_real,1.228630
fixed,0.299869842312644,transfers,fixed_nominal,0.351589
fixed,0.299869842312644,UI_extensions,taylor,1.031144
fixed,0.299869842312644,UI_extensions,fixed_real,1.194977
fixed,0.299869842312644,UI_extensions,fixed_nominal,0.479993
fixed,0.299869842312644,tax_cut,taylor,1.082661
fixed,0.299869842312644,tax_cut,fixed_real,1.358480
fixed,0.299869842312644,tax_cut,fixed_nominal,0.259005
fixed,0.35,transfers,taylor,1.069252
fixed,0.35,transfers,fixed_real,1.270904
fixed,0.35,transfers,fixed_nominal,0.466831
fixed,0.35,UI_extensions,taylor,1.061549
fixed,0.35,UI_extensions,fixed_real,1.229427
fixed,0.35,UI_extensions,fixed_nominal,0.544118
fixed,0.35,tax_cut,taylor,1.123657
fixed,0.35,tax_cut,fixed_real,1.401818
fixed,0.35,tax_cut,fixed_nominal,0.354002
