bigT,phi_pi,policy,regime,mult_h20
300,0,transfers,taylor,0.999990
300,0,transfers,fixed_real,1.237312
300,0,transfers,fixed_nominal,0.355786
300,0,UI_extensions,taylor,1.228183
300,0,UI_extensions,fixed_real,1.439227
300,0,UI_extensions,fixed_nominal,0.654653
300,0,tax_cut,taylor,1.100274
300,0,tax_cut,fixed_real,1.403616
300,0,tax_cut,fixed_nominal,0.288644
300,0.05,transfers,taylor,0.999990
300,0.05,transfers,fixed_real,1.237312
300,0.05,transfers,fixed_nominal,0.291895
300,0.05,UI_extensions,taylor,1.228183
300,0.05,UI_extensions,fixed_real,1.439227
300,0.05,UI_extensions,fixed_nominal,0.603035
300,0.05,tax_cut,taylor,1.100274
300,0.05,tax_cut,fixed_real,1.403616
300,0.05,tax_cut,fixed_nominal,0.205975
300,0.2,transfers,taylor,0.999990
300,0.2,transfers,fixed_real,1.237312
300,0.2,transfers,fixed_nominal,-0.091152
300,0.2,UI_extensions,taylor,1.228183
300,0.2,UI_extensions,fixed_real,1.439227
300,0.2,UI_extensions,fixed_nominal,0.290206
300,0.2,tax_cut,taylor,1.100274
300,0.2,tax_cut,fixed_real,1.403616
300,0.2,tax_cut,fixed_nominal,-0.290152
450,0,transfers,taylor,1.007206
450,0,transfers,fixed_real,1.244142
450,0,transfers,fixed_nominal,2.690433
450,0,UI_extensions,taylor,1.235166
450,0,UI_extensions,fixed_real,1.445847
450,0,UI_extensions,fixed_nominal,2.718361
450,0,tax_cut,taylor,1.107418
450,0,tax_cut,fixed_real,1.410625
450,0,tax_cut,fixed_nominal,3.212399
450,0.05,transfers,taylor,1.007206
450,0.05,transfers,fixed_real,1.244142
450,0.05,transfers,fixed_nominal,2.482487
450,0.05,UI_extensions,taylor,1.235166
450,0.05,UI_extensions,fixed_real,1.445847
450,0.05,UI_extensions,fixed_nominal,2.530836
450,0.05,tax_cut,taylor,1.107418
450,0.05,tax_cut,fixed_real,1.410625
450,0.05,tax_cut,fixed_nominal,2.956161
450,0.2,transfers,taylor,1.007206
450,0.2,transfers,fixed_real,1.244142
450,0.2,transfers,fixed_nominal,2.065062
450,0.2,UI_extensions,taylor,1.235166
450,0.2,UI_extensions,fixed_real,1.445847
450,0.2,UI_extensions,fixed_nominal,2.155617
450,0.2,tax_cut,taylor,1.107418
450,0.2,tax_cut,fixed_real,1.410625
450,0.2,tax_cut,fixed_nominal,2.442285
600,0,transfers,taylor,1.008872
600,0,transfers,fixed_real,1.245674
600,0,transfers,fixed_nominal,1.780827
600,0,UI_extensions,taylor,1.236775
600,0,UI_extensions,fixed_real,1.447332
600,0,UI_extensions,fixed_nominal,1.916010
600,0,tax_cut,taylor,1.109083
600,0,tax_cut,fixed_real,1.412196
600,0,tax_cut,fixed_nominal,2.075242
600,0.05,transfers,taylor,1.008872
600,0.05,transfers,fixed_real,1.245674
600,0.05,transfers,fixed_nominal,1.758296
600,0.05,UI_extensions,taylor,1.236775
600,0.05,UI_extensions,fixed_real,1.447332
600,0.05,UI_extensions,fixed_nominal,1.895103
600,0.05,tax_cut,taylor,1.109083
600,0.05,tax_cut,fixed_real,1.412196
600,0.05,tax_cut,fixed_nominal,2.048844
600,0.2,transfers,taylor,1.008872
600,0.2,transfers,fixed_real,1.245674
600,0.2,transfers,fixed_nominal,1.691110
600,0.2,UI_extensions,taylor,1.236775
600,0.2,UI_extensions,fixed_real,1.447332
600,0.2,UI_extensions,fixed_nominal,1.833352
600,0.2,tax_cut,taylor,1.109083
600,0.2,tax_cut,fixed_real,1.412196
600,0.2,tax_cut,fixed_nominal,1.969953
