bigT,phi_pi,policy,regime,mult_h20
200,0,transfers,taylor,0.985193
200,0,transfers,fixed_real,1.223213
200,0,transfers,fixed_nominal,0.737726
200,0,UI_extensions,taylor,1.213894
200,0,UI_extensions,fixed_real,1.425564
200,0,UI_extensions,fixed_nominal,0.988422
200,0,tax_cut,taylor,1.085719
200,0,tax_cut,fixed_real,1.389103
200,0,tax_cut,fixed_nominal,0.764842
200,0.05,transfers,taylor,0.985193
200,0.05,transfers,fixed_real,1.223213
200,0.05,transfers,fixed_nominal,0.734461
200,0.05,UI_extensions,taylor,1.213894
200,0.05,UI_extensions,fixed_real,1.425564
200,0.05,UI_extensions,fixed_nominal,0.988443
200,0.05,tax_cut,taylor,1.085719
200,0.05,tax_cut,fixed_real,1.389103
200,0.05,tax_cut,fixed_nominal,0.759272
200,0.2,transfers,taylor,0.985193
200,0.2,transfers,fixed_real,1.223213
200,0.2,transfers,fixed_nominal,0.715636
200,0.2,UI_extensions,taylor,1.213894
200,0.2,UI_extensions,fixed_real,1.425564
200,0.2,UI_extensions,fixed_nominal,0.983252
200,0.2,tax_cut,taylor,1.085719
200,0.2,tax_cut,fixed_real,1.389103
200,0.2,tax_cut,fixed_nominal,0.729146
100,0,transfers,taylor,0.951606
100,0,transfers,fixed_real,1.189655
100,0,transfers,fixed_nominal,0.806700
100,0,UI_extensions,taylor,1.182104
100,0,UI_extensions,fixed_real,1.392883
100,0,UI_extensions,fixed_nominal,1.045405
100,0,tax_cut,taylor,1.053029
100,0,tax_cut,fixed_real,1.354043
100,0,tax_cut,fixed_nominal,0.855557
100,0.05,transfers,taylor,0.951606
100,0.05,transfers,fixed_real,1.189655
100,0.05,transfers,fixed_nominal,0.811628
100,0.05,UI_extensions,taylor,1.182104
100,0.05,UI_extensions,fixed_real,1.392883
100,0.05,UI_extensions,fixed_nominal,1.052159
100,0.05,tax_cut,taylor,1.053029
100,0.05,tax_cut,fixed_real,1.354043
100,0.05,tax_cut,fixed_nominal,0.860483
100,0.2,transfers,taylor,0.951606
100,0.2,transfers,fixed_real,1.189655
100,0.2,transfers,fixed_nominal,0.827552
100,0.2,UI_extensions,taylor,1.182104
100,0.2,UI_extensions,fixed_real,1.392883
100,0.2,UI_extensions,fixed_nominal,1.075172
100,0.2,tax_cut,taylor,1.053029
100,0.2,tax_cut,fixed_real,1.354043
100,0.2,tax_cut,fixed_nominal,0.875414
