bigT,phi_pi,policy,regime,mult_h20
300,0,transfers,taylor,1.026297
300,0,transfers,fixed_real,1.228630
300,0,transfers,fixed_nominal,0.351589
300,0,UI_extensions,taylor,1.031144
300,0,UI_extensions,fixed_real,1.194977
300,0,UI_extensions,fixed_nominal,0.479993
300,0,tax_cut,taylor,1.082661
300,0,tax_cut,fixed_real,1.358480
300,0,tax_cut,fixed_nominal,0.259005
300,0.05,transfers,taylor,1.026297
300,0.05,transfers,fixed_real,1.228630
300,0.05,transfers,fixed_nominal,0.282813
300,0.05,UI_extensions,taylor,1.031144
300,0.05,UI_extensions,fixed_real,1.194977
300,0.05,UI_extensions,fixed_nominal,0.431539
300,0.05,tax_cut,taylor,1.082661
300,0.05,tax_cut,fixed_real,1.358480
300,0.05,tax_cut,fixed_nominal,0.172391
300,0.2,transfers,taylor,1.026297
300,0.2,transfers,fixed_real,1.228630
300,0.2,transfers,fixed_nominal,-0.150059
300,0.2,UI_extensions,taylor,1.031144
300,0.2,UI_extensions,fixed_real,1.194977
300,0.2,UI_extensions,fixed_nominal,0.120552
300,0.2,tax_cut,taylor,1.082661
300,0.2,tax_cut,fixed_real,1.358480
300,0.2,tax_cut,fixed_nominal,-0.373135
200,0,transfers,taylor,1.011684
200,0,transfers,fixed_real,1.214532
200,0,transfers,fixed_nominal,0.736243
200,0,UI_extensions,taylor,1.016942
200,0,UI_extensions,fixed_real,1.181330
200,0,UI_extensions,fixed_nominal,0.787870
200,0,tax_cut,taylor,1.068306
200,0,tax_cut,fixed_real,1.344048
200,0,tax_cut,fixed_nominal,0.729800
200,0.05,transfers,taylor,1.011684
200,0.05,transfers,fixed_real,1.214532
200,0.05,transfers,fixed_nominal,0.733235
200,0.05,UI_extensions,taylor,1.016942
200,0.05,UI_extensions,fixed_real,1.181330
200,0.05,UI_extensions,fixed_nominal,0.789894
200,0.05,tax_cut,taylor,1.068306
200,0.05,tax_cut,fixed_real,1.344048
200,0.05,tax_cut,fixed_nominal,0.724913
200,0.2,transfers,taylor,1.011684
200,0.2,transfers,fixed_real,1.214532
200,0.2,transfers,fixed_nominal,0.714616
200,0.2,UI_extensions,taylor,1.016942
200,0.2,UI_extensions,fixed_real,1.181330
200,0.2,UI_extensions,fixed_nominal,0.792198
200,0.2,tax_cut,taylor,1.068306
200,0.2,tax_cut,fixed_real,1.344048
200,0.2,tax_cut,fixed_nominal,0.696765
450,0,transfers,taylor,1.033438
450,0,transfers,fixed_real,1.235461
450,0,transfers,fixed_nominal,2.370417
450,0,UI_extensions,taylor,1.038090
450,0,UI_extensions,fixed_real,1.201592
450,0,UI_extensions,fixed_nominal,2.118361
450,0,tax_cut,taylor,1.089722
450,0,tax_cut,fixed_real,1.365452
450,0,tax_cut,fixed_nominal,2.740097
450,0.05,transfers,taylor,1.033438
450,0.05,transfers,fixed_real,1.235461
450,0.05,transfers,fixed_nominal,2.226006
450,0.05,UI_extensions,taylor,1.038090
450,0.05,UI_extensions,fixed_real,1.201592
450,0.05,UI_extensions,fixed_nominal,1.997048
450,0.05,tax_cut,taylor,1.089722
450,0.05,tax_cut,fixed_real,1.365452
450,0.05,tax_cut,fixed_nominal,2.565324
450,0.2,transfers,taylor,1.033438
450,0.2,transfers,fixed_real,1.235461
450,0.2,transfers,fixed_nominal,1.921927
450,0.2,UI_extensions,taylor,1.038090
450,0.2,UI_extensions,fixed_real,1.201592
450,0.2,UI_extensions,fixed_nominal,1.743101
450,0.2,tax_cut,taylor,1.089722
450,0.2,tax_cut,fixed_real,1.365452
450,0.2,tax_cut,fixed_nominal,2.197693
600,0,transfers,taylor,1.035093
600,0,transfers,fixed_real,1.236992
600,0,transfers,fixed_nominal,1.671918
600,0,UI_extensions,taylor,1.039694
600,0,UI_extensions,fixed_real,1.203076
600,0,UI_extensions,fixed_nominal,1.552998
600,0,tax_cut,taylor,1.091374
600,0,tax_cut,fixed_real,1.367014
600,0,tax_cut,fixed_nominal,1.883332
600,0.05,transfers,taylor,1.035093
600,0.05,transfers,fixed_real,1.236992
600,0.05,transfers,fixed_nominal,1.657611
600,0.05,UI_extensions,taylor,1.039694
600,0.05,UI_extensions,fixed_real,1.203076
600,0.05,UI_extensions,fixed_nominal,1.540529
600,0.05,tax_cut,taylor,1.091374
600,0.05,tax_cut,fixed_real,1.367014
600,0.05,tax_cut,fixed_nominal,1.866978
600,0.2,transfers,taylor,1.035093
600,0.2,transfers,fixed_real,1.236992
600,0.2,transfers,fixed_nominal,1.613490
600,0.2,UI_extensions,taylor,1.039694
600,0.2,UI_extensions,fixed_real,1.203076
600,0.2,UI_extensions,fixed_nominal,1.502677
600,0.2,tax_cut,taylor,1.091374
600,0.2,tax_cut,fixed_real,1.367014
600,0.2,tax_cut,fixed_nominal,1.816355
