fn_index,bigT,phi_pi,policy,regime,mult_h20
fixed,250,0,transfers,taylor,1.020611
fixed,250,0,transfers,fixed_real,1.223147
fixed,250,0,transfers,fixed_nominal,0.625787
fixed,250,0,UI_extensions,taylor,1.025613
fixed,250,0,UI_extensions,fixed_real,1.189671
fixed,250,0,UI_extensions,fixed_nominal,0.700584
fixed,250,0,tax_cut,taylor,1.077064
fixed,250,0,tax_cut,fixed_real,1.352876
fixed,250,0,tax_cut,fixed_nominal,0.594763
fixed,350,0,transfers,taylor,1.029864
fixed,350,0,transfers,fixed_real,1.232058
fixed,350,0,transfers,fixed_nominal,-0.765252
fixed,350,0,UI_extensions,taylor,1.034615
fixed,350,0,UI_extensions,fixed_real,1.198296
fixed,350,0,UI_extensions,fixed_nominal,-0.423941
fixed,350,0,tax_cut,taylor,1.086181
fixed,350,0,tax_cut,fixed_real,1.361979
fixed,350,0,tax_cut,fixed_nominal,-1.111435
fixed,400,0,transfers,taylor,1.032077
fixed,400,0,transfers,fixed_real,1.234171
fixed,400,0,transfers,fixed_nominal,6.295341
fixed,400,0,UI_extensions,taylor,1.036767
fixed,400,0,UI_extensions,fixed_real,1.200343
fixed,400,0,UI_extensions,fixed_nominal,5.298489
fixed,400,0,tax_cut,taylor,1.088371
fixed,400,0,tax_cut,fixed_real,1.364136
fixed,400,0,tax_cut,fixed_nominal,7.558836
fixed,500,0,transfers,taylor,1.034272
fixed,500,0,transfers,fixed_real,1.236241
fixed,500,0,transfers,fixed_nominal,1.912115
fixed,500,0,UI_extensions,taylor,1.038900
fixed,500,0,UI_extensions,fixed_real,1.202348
fixed,500,0,UI_extensions,fixed_nominal,1.747297
fixed,500,0,tax_cut,taylor,1.090552
fixed,500,0,tax_cut,fixed_real,1.366248
fixed,500,0,tax_cut,fixed_nominal,2.177778
