bigT,policy,regime,mult_h20
400,transfers,taylor,1.005832
400,transfers,fixed_real,1.242853
400,transfers,fixed_nominal,11.827597
400,UI_extensions,taylor,1.233836
400,UI_extensions,fixed_real,1.444597
400,UI_extensions,fixed_nominal,10.785130
400,tax_cut,taylor,1.106053
400,tax_cut,fixed_real,1.409303
400,tax_cut,fixed_nominal,14.644823
600,transfers,taylor,1.008872
600,transfers,fixed_real,1.245674
600,transfers,fixed_nominal,1.780827
600,UI_extensions,taylor,1.236775
600,UI_extensions,fixed_real,1.447332
600,UI_extensions,fixed_nominal,1.916010
600,tax_cut,taylor,1.109083
600,tax_cut,fixed_real,1.412196
600,tax_cut,fixed_nominal,2.075242
