alpha,which,policy,regime,mult_h20
0,C,transfers,taylor,1.000445
0,C,transfers,fixed_real,1.237107
0,C,transfers,fixed_nominal,1.653340
0,C,UI_extensions,taylor,1.228726
0,C,UI_extensions,fixed_real,1.439159
0,C,UI_extensions,fixed_nominal,1.803132
0,C,tax_cut,taylor,1.100769
0,C,tax_cut,fixed_real,1.403586
0,C,tax_cut,fixed_nominal,1.918363
0.25,C,transfers,taylor,1.000467
0.25,C,transfers,fixed_real,1.237125
0.25,C,transfers,fixed_nominal,1.653349
0.25,C,UI_extensions,taylor,1.228736
0.25,C,UI_extensions,fixed_real,1.439165
0.25,C,UI_extensions,fixed_nominal,1.803131
0.25,C,tax_cut,taylor,1.100776
0.25,C,tax_cut,fixed_real,1.403588
0.25,C,tax_cut,fixed_nominal,1.918354
0.5,C,transfers,taylor,1.000488
0.5,C,transfers,fixed_real,1.237142
0.5,C,transfers,fixed_nominal,1.653359
0.5,C,UI_extensions,taylor,1.228747
0.5,C,UI_extensions,fixed_real,1.439170
0.5,C,UI_extensions,fixed_nominal,1.803129
0.5,C,tax_cut,taylor,1.100782
0.5,C,tax_cut,fixed_real,1.403591
0.5,C,tax_cut,fixed_nominal,1.918346
0.75,C,transfers,taylor,1.000510
0.75,C,transfers,fixed_real,1.237159
0.75,C,transfers,fixed_nominal,1.653368
0.75,C,UI_extensions,taylor,1.228757
0.75,C,UI_extensions,fixed_real,1.439176
0.75,C,UI_extensions,fixed_nominal,1.803127
0.75,C,tax_cut,taylor,1.100788
0.75,C,tax_cut,fixed_real,1.403593
0.75,C,tax_cut,fixed_nominal,1.918337
1.0,C,transfers,taylor,1.000532
1.0,C,transfers,fixed_real,1.237177
1.0,C,transfers,fixed_nominal,1.653378
1.0,C,UI_extensions,taylor,1.228767
1.0,C,UI_extensions,fixed_real,1.439182
1.0,C,UI_extensions,fixed_nominal,1.803126
1.0,C,tax_cut,taylor,1.100794
1.0,C,tax_cut,fixed_real,1.403596
1.0,C,tax_cut,fixed_nominal,1.918329
1.25,C,transfers,taylor,1.000553
1.25,C,transfers,fixed_real,1.237194
1.25,C,transfers,fixed_nominal,1.653387
1.25,C,UI_extensions,taylor,1.228777
1.25,C,UI_extensions,fixed_real,1.439188
1.25,C,UI_extensions,fixed_nominal,1.803124
1.25,C,tax_cut,taylor,1.100801
1.25,C,tax_cut,fixed_real,1.403598
1.25,C,tax_cut,fixed_nominal,1.918320
1.5,C,transfers,taylor,1.000575
1.5,C,transfers,fixed_real,1.237211
1.5,C,transfers,fixed_nominal,1.653397
1.5,C,UI_extensions,taylor,1.228787
1.5,C,UI_extensions,fixed_real,1.439194
1.5,C,UI_extensions,fixed_nominal,1.803123
1.5,C,tax_cut,taylor,1.100807
1.5,C,tax_cut,fixed_real,1.403601
1.5,C,tax_cut,fixed_nominal,1.918312
2.0,C,transfers,taylor,1.000618
2.0,C,transfers,fixed_real,1.237246
2.0,C,transfers,fixed_nominal,1.653416
2.0,C,UI_extensions,taylor,1.228807
2.0,C,UI_extensions,fixed_real,1.439206
2.0,C,UI_extensions,fixed_nominal,1.803119
2.0,C,tax_cut,taylor,1.100819
2.0,C,tax_cut,fixed_real,1.403606
2.0,C,tax_cut,fixed_nominal,1.918295
0,CA,transfers,taylor,0.999990
0,CA,transfers,fixed_real,1.237316
0,CA,transfers,fixed_nominal,0.355556
0,CA,UI_extensions,taylor,1.228181
0,CA,UI_extensions,fixed_real,1.439228
0,CA,UI_extensions,fixed_nominal,0.654453
0,CA,tax_cut,taylor,1.100272
0,CA,tax_cut,fixed_real,1.403617
0,CA,tax_cut,fixed_nominal,0.288364
0.25,CA,transfers,taylor,1.000125
0.25,CA,transfers,fixed_real,1.237281
0.25,CA,transfers,fixed_nominal,-0.052394
0.25,CA,UI_extensions,taylor,1.228327
0.25,CA,UI_extensions,fixed_real,1.439217
0.25,CA,UI_extensions,fixed_nominal,0.293363
0.25,CA,tax_cut,taylor,1.100402
0.25,CA,tax_cut,fixed_real,1.403611
0.25,CA,tax_cut,fixed_nominal,-0.224036
0.5,CA,transfers,taylor,1.000261
0.5,CA,transfers,fixed_real,1.237246
0.5,CA,transfers,fixed_nominal,-2.940967
0.5,CA,UI_extensions,taylor,1.228474
0.5,CA,UI_extensions,fixed_real,1.439205
0.5,CA,UI_extensions,fixed_nominal,-2.263347
0.5,CA,tax_cut,taylor,1.100533
0.5,CA,tax_cut,fixed_real,1.403606
0.5,CA,tax_cut,fixed_nominal,-3.852066
0.75,CA,transfers,taylor,1.000396
0.75,CA,transfers,fixed_real,1.237211
0.75,CA,transfers,fixed_nominal,2.779296
0.75,CA,UI_extensions,taylor,1.228620
0.75,CA,UI_extensions,fixed_real,1.439194
0.75,CA,UI_extensions,fixed_nominal,2.799695
0.75,CA,tax_cut,taylor,1.100664
0.75,CA,tax_cut,fixed_real,1.403601
0.75,CA,tax_cut,fixed_nominal,3.332487
1.0,CA,transfers,taylor,1.000532
1.0,CA,transfers,fixed_real,1.237177
1.0,CA,transfers,fixed_nominal,1.653378
1.0,CA,UI_extensions,taylor,1.228767
1.0,CA,UI_extensions,fixed_real,1.439182
1.0,CA,UI_extensions,fixed_nominal,1.803126
1.0,CA,tax_cut,taylor,1.100794
1.0,CA,tax_cut,fixed_real,1.403596
1.0,CA,tax_cut,fixed_nominal,1.918329
1.25,CA,transfers,taylor,1.000667
1.25,CA,transfers,fixed_real,1.237142
1.25,CA,transfers,fixed_nominal,1.370518
