alpha,which,policy,regime,mult_h20
0.50,CA,transfers,taylor,1.000261
0.50,CA,transfers,fixed_real,1.237246
0.50,CA,transfers,fixed_nominal,-2.940967
0.50,CA,UI_extensions,taylor,1.228474
0.50,CA,UI_extensions,fixed_real,1.439205
0.50,CA,UI_extensions,fixed_nominal,-2.263347
0.50,CA,tax_cut,taylor,1.100533
0.50,CA,tax_cut,fixed_real,1.403606
0.50,CA,tax_cut,fixed_nominal,-3.852066
0.55,CA,transfers,taylor,1.000288
0.55,CA,transfers,fixed_real,1.237239
0.55,CA,transfers,fixed_nominal,-8.895974
0.55,CA,UI_extensions,taylor,1.228503
0.55,CA,UI_extensions,fixed_real,1.439203
0.55,CA,UI_extensions,fixed_nominal,-7.534175
0.55,CA,tax_cut,taylor,1.100559
0.55,CA,tax_cut,fixed_real,1.403605
0.55,CA,tax_cut,fixed_nominal,-11.331479
0.58,CA,transfers,taylor,1.000304
0.58,CA,transfers,fixed_real,1.237235
0.58,CA,transfers,fixed_nominal,-140.591129
0.58,CA,UI_extensions,taylor,1.228521
0.58,CA,UI_extensions,fixed_real,1.439202
0.58,CA,UI_extensions,fixed_nominal,-124.098650
0.58,CA,tax_cut,taylor,1.100575
0.58,CA,tax_cut,fixed_real,1.403605
0.58,CA,tax_cut,fixed_nominal,-176.738833
0.60,CA,transfers,taylor,1.000315
0.60,CA,transfers,fixed_real,1.237232
0.60,CA,transfers,fixed_nominal,18.662503
0.60,CA,UI_extensions,taylor,1.228532
0.60,CA,UI_extensions,fixed_real,1.439201
0.60,CA,UI_extensions,fixed_nominal,16.858060
0.60,CA,tax_cut,taylor,1.100585
0.60,CA,tax_cut,fixed_real,1.403604
0.60,CA,tax_cut,fixed_nominal,23.281595
0.62,CA,transfers,taylor,1.000326
0.62,CA,transfers,fixed_real,1.237229
0.62,CA,transfers,fixed_nominal,9.255454
0.62,CA,UI_extensions,taylor,1.228544
0.62,CA,UI_extensions,fixed_real,1.439200
0.62,CA,UI_extensions,fixed_nominal,8.531802
0.62,CA,tax_cut,taylor,1.100596
0.62,CA,tax_cut,fixed_real,1.403604
0.62,CA,tax_cut,fixed_nominal,11.466465
0.64,CA,transfers,taylor,1.000337
0.64,CA,transfers,fixed_real,1.237227
0.64,CA,transfers,fixed_nominal,6.361968
0.64,CA,UI_extensions,taylor,1.228556
0.64,CA,UI_extensions,fixed_real,1.439199
0.64,CA,UI_extensions,fixed_nominal,5.970752
0.64,CA,tax_cut,taylor,1.100606
0.64,CA,tax_cut,fixed_real,1.403603
0.64,CA,tax_cut,fixed_nominal,7.832284
0.66,CA,transfers,taylor,1.000347
0.66,CA,transfers,fixed_real,1.237224
0.66,CA,transfers,fixed_nominal,4.956729
0.66,CA,UI_extensions,taylor,1.228567
0.66,CA,UI_extensions,fixed_real,1.439198
0.66,CA,UI_extensions,fixed_nominal,4.726963
0.66,CA,tax_cut,taylor,1.100617
0.66,CA,tax_cut,fixed_real,1.403603
0.66,CA,tax_cut,fixed_nominal,6.067322
0.68,CA,transfers,taylor,1.000358
0.68,CA,transfers,fixed_real,1.237221
0.68,CA,transfers,fixed_nominal,4.126413
0.68,CA,UI_extensions,taylor,1.228579
0.68,CA,UI_extensions,fixed_real,1.439197
0.68,CA,UI_extensions,fixed_nominal,3.992043
0.68,CA,tax_cut,taylor,1.100627
0.68,CA,tax_cut,fixed_real,1.403602
0.68,CA,tax_cut,fixed_nominal,5.024454
0.70,CA,transfers,taylor,1.000369
0.70,CA,transfers,fixed_real,1.237218
0.70,CA,transfers,fixed_nominal,3.578113
0.70,CA,UI_extensions,taylor,1.228591
0.70,CA,UI_extensions,fixed_real,1.439196
0.70,CA,UI_extensions,fixed_nominal,3.506737
0.70,CA,tax_cut,taylor,1.100638
0.70,CA,tax_cut,fixed_real,1.403602
0.70,CA,tax_cut,fixed_nominal,4.335795
0.75,CA,transfers,taylor,1.000396
0.75,CA,transfers,fixed_real,1.237211
0.75,CA,transfers,fixed_nominal,2.779296
0.75,CA,UI_extensions,taylor,1.228620
0.75,CA,UI_extensions,fixed_real,1.439194
0.75,CA,UI_extensions,fixed_nominal,2.799695
0.75,CA,tax_cut,taylor,1.100664
0.75,CA,tax_cut,fixed_real,1.403601
0.75,CA,tax_cut,fixed_nominal,3.332487
