bigT,policy,regime,mult_h20
250,transfers,taylor,0.995133
250,transfers,fixed_real,1.231589
250,transfers,fixed_nominal,1.645375
250,UI_extensions,taylor,1.223587
250,UI_extensions,fixed_real,1.433837
250,UI_extensions,fixed_nominal,1.795712
250,tax_cut,taylor,1.095464
250,tax_cut,fixed_real,1.397946
250,tax_cut,fixed_nominal,1.909691
300,transfers,taylor,1.000532
300,transfers,fixed_real,1.237177
300,transfers,fixed_nominal,1.653378
300,UI_extensions,taylor,1.228767
300,UI_extensions,fixed_real,1.439182
300,UI_extensions,fixed_nominal,1.803126
300,tax_cut,taylor,1.100794
300,tax_cut,fixed_real,1.403596
300,tax_cut,fixed_nominal,1.918329
320,transfers,taylor,1.002082
320,transfers,fixed_real,1.238773
320,transfers,fixed_nominal,1.655606
320,UI_extensions,taylor,1.230255
320,UI_extensions,fixed_real,1.440712
320,UI_extensions,fixed_nominal,1.805202
320,tax_cut,taylor,1.102328
320,tax_cut,fixed_real,1.405211
320,tax_cut,fixed_nominal,1.920724
340,transfers,taylor,1.003365
340,transfers,fixed_real,1.240092
340,transfers,fixed_nominal,1.657407
340,UI_extensions,taylor,1.231488
340,UI_extensions,fixed_real,1.441976
340,UI_extensions,fixed_nominal,1.806884
340,tax_cut,taylor,1.103599
340,tax_cut,fixed_real,1.406546
340,tax_cut,fixed_nominal,1.922654
350,transfers,taylor,1.003921
350,transfers,fixed_real,1.240662
350,transfers,fixed_nominal,1.658172
350,UI_extensions,taylor,1.232023
350,UI_extensions,fixed_real,1.442522
350,UI_extensions,fixed_nominal,1.807599
350,tax_cut,taylor,1.104150
350,tax_cut,fixed_real,1.407123
350,tax_cut,fixed_nominal,1.923471
360,transfers,taylor,1.004427
360,transfers,fixed_real,1.241179
360,transfers,fixed_nominal,1.658858
360,UI_extensions,taylor,1.232508
360,UI_extensions,fixed_real,1.443018
360,UI_extensions,fixed_nominal,1.808242
360,tax_cut,taylor,1.104651
360,tax_cut,fixed_real,1.407647
360,tax_cut,fixed_nominal,1.924203
370,transfers,taylor,1.004886
370,transfers,fixed_real,1.241648
370,transfers,fixed_nominal,1.659472
370,UI_extensions,taylor,1.232950
370,UI_extensions,fixed_real,1.443468
370,UI_extensions,fixed_nominal,1.808818
370,tax_cut,taylor,1.105107
370,tax_cut,fixed_real,1.408121
370,tax_cut,fixed_nominal,1.924857
375,transfers,taylor,1.005100
375,transfers,fixed_real,1.241865
375,transfers,fixed_nominal,1.659755
375,UI_extensions,taylor,1.233155
375,UI_extensions,fixed_real,1.443677
375,UI_extensions,fixed_nominal,1.809084
375,tax_cut,taylor,1.105319
375,tax_cut,fixed_real,1.408342
375,tax_cut,fixed_nominal,1.925158
380,transfers,taylor,1.005303
380,transfers,fixed_real,1.242073
380,transfers,fixed_nominal,1.660023
380,UI_extensions,taylor,1.233351
380,UI_extensions,fixed_real,1.443876
380,UI_extensions,fixed_nominal,1.809335
380,tax_cut,taylor,1.105521
380,tax_cut,fixed_real,1.408552
380,tax_cut,fixed_nominal,1.925443
385,transfers,taylor,1.005497
385,transfers,fixed_real,1.242270
385,transfers,fixed_nominal,1.660277
385,UI_extensions,taylor,1.233537
385,UI_extensions,fixed_real,1.444066
385,UI_extensions,fixed_nominal,1.809574
385,tax_cut,taylor,1.105713
385,tax_cut,fixed_real,1.408752
385,tax_cut,fixed_nominal,1.925712
390,transfers,taylor,1.005682
390,transfers,fixed_real,1.242458
390,transfers,fixed_nominal,1.660517
390,UI_extensions,taylor,1.233715
390,UI_extensions,fixed_real,1.444246
390,UI_extensions,fixed_nominal,1.809799
390,tax_cut,taylor,1.105897
390,tax_cut,fixed_real,1.408942
390,tax_cut,fixed_nominal,1.925966
400,transfers,taylor,1.006025
400,transfers,fixed_real,1.242807
400,transfers,fixed_nominal,1.660960
400,UI_extensions,taylor,1.234045
400,UI_extensions,fixed_real,1.444582
400,UI_extensions,fixed_nominal,1.810215
400,tax_cut,taylor,1.106239
400,tax_cut,fixed_real,1.409296
400,tax_cut,fixed_nominal,1.926435
420,transfers,taylor,1.006620
420,transfers,fixed_real,1.243410
420,transfers,fixed_nominal,1.661713
420,UI_extensions,taylor,1.234617
420,UI_extensions,fixed_real,1.445160
420,UI_extensions,fixed_nominal,1.810923
420,tax_cut,taylor,1.106830
420,tax_cut,fixed_real,1.409906
420,tax_cut,fixed_nominal,1.927230
450,transfers,taylor,1.007321
450,transfers,fixed_real,1.244115
450,transfers,fixed_nominal,1.662576
450,UI_extensions,taylor,1.235290
450,UI_extensions,fixed_real,1.445838
450,UI_extensions,fixed_nominal,1.811735
450,tax_cut,taylor,1.107529
450,tax_cut,fixed_real,1.410621
450,tax_cut,fixed_nominal,1.928138
500,transfers,taylor,1.008115
500,transfers,fixed_real,1.244906
500,transfers,fixed_nominal,1.663520
500,UI_extensions,taylor,1.236052
500,UI_extensions,fixed_real,1.446598
500,UI_extensions,fixed_nominal,1.812623
500,tax_cut,taylor,1.108321
500,tax_cut,fixed_real,1.411423
500,tax_cut,fixed_nominal,1.929128
550,transfers,taylor,1.008600
550,transfers,fixed_real,1.245382
550,transfers,fixed_nominal,1.664077
550,UI_extensions,taylor,1.236517
550,UI_extensions,fixed_real,1.447056
550,UI_extensions,fixed_nominal,1.813148
550,tax_cut,taylor,1.108808
550,tax_cut,fixed_real,1.411906
550,tax_cut,fixed_nominal,1.929711
