zeroth_column,splurge_rule,policy,regime,mult_h20
bug072,legacy,transfers,taylor,0.999990
bug072,legacy,transfers,fixed_real,1.237312
bug072,legacy,transfers,fixed_nominal,0.355786
bug072,legacy,UI_extensions,taylor,1.228183
bug072,legacy,UI_extensions,fixed_real,1.439227
bug072,legacy,UI_extensions,fixed_nominal,0.654653
bug072,legacy,tax_cut,taylor,1.100274
bug072,legacy,tax_cut,fixed_real,1.403616
bug072,legacy,tax_cut,fixed_nominal,0.288644
bug072,cash,transfers,taylor,0.974832
bug072,cash,transfers,fixed_real,1.208840
bug072,cash,transfers,fixed_nominal,0.335732
bug072,cash,UI_extensions,taylor,1.205232
bug072,cash,UI_extensions,fixed_real,1.413618
bug072,cash,UI_extensions,fixed_nominal,0.636629
bug072,cash,tax_cut,taylor,1.075126
bug072,cash,tax_cut,fixed_real,1.375089
bug072,cash,tax_cut,fixed_nominal,0.270756
unanticipated,legacy,transfers,taylor,1.219266
unanticipated,legacy,transfers,fixed_real,1.413612
unanticipated,legacy,transfers,fixed_nominal,1.713499
unanticipated,legacy,UI_extensions,taylor,1.397131
unanticipated,legacy,UI_extensions,fixed_real,1.562030
unanticipated,legacy,UI_extensions,fixed_nominal,1.810771
unanticipated,legacy,tax_cut,taylor,1.164439
unanticipated,legacy,tax_cut,fixed_real,1.424832
unanticipated,legacy,tax_cut,fixed_nominal,1.766460
unanticipated,cash,transfers,taylor,1.193714
unanticipated,cash,transfers,fixed_real,1.384713
unanticipated,cash,transfers,fixed_nominal,1.680433
unanticipated,cash,UI_extensions,taylor,1.374039
unanticipated,cash,UI_extensions,fixed_real,1.536225
unanticipated,cash,UI_extensions,fixed_nominal,1.781466
unanticipated,cash,tax_cut,taylor,1.139300
unanticipated,cash,tax_cut,fixed_real,1.396243
unanticipated,cash,tax_cut,fixed_nominal,1.732853
