zeroth_column,policy,regime,mult_h20
bug072,transfers,taylor,0.999990
bug072,transfers,fixed_real,1.237312
bug072,transfers,fixed_nominal,0.355786
bug072,UI_extensions,taylor,1.228183
bug072,UI_extensions,fixed_real,1.439227
bug072,UI_extensions,fixed_nominal,0.654653
bug072,tax_cut,taylor,1.100274
bug072,tax_cut,fixed_real,1.403616
bug072,tax_cut,fixed_nominal,0.288644
historical,transfers,taylor,4.250384
historical,transfers,fixed_real,-3.265875
historical,transfers,fixed_nominal,2.112880
historical,UI_extensions,taylor,30.944465
historical,UI_extensions,fixed_real,-71.935709
historical,UI_extensions,fixed_nominal,5.580048
historical,tax_cut,taylor,2.562243
historical,tax_cut,fixed_real,0.650662
historical,tax_cut,fixed_nominal,2.032915
