zeroth_column,policy,regime,mult_h20
bug072,transfers,taylor,0.999990
bug072,transfers,fixed_real,1.237312
bug072,transfers,fixed_nominal,0.355786
bug072,UI_extensions,taylor,1.228183
bug072,UI_extensions,fixed_real,1.439227
bug072,UI_extensions,fixed_nominal,0.654653
bug072,tax_cut,taylor,1.100274
bug072,tax_cut,fixed_real,1.403616
bug072,tax_cut,fixed_nominal,0.288644
unanticipated,transfers,taylor,1.219266
unanticipated,transfers,fixed_real,1.413612
unanticipated,transfers,fixed_nominal,1.713499
unanticipated,UI_extensions,taylor,1.397131
unanticipated,UI_extensions,fixed_real,1.562030
unanticipated,UI_extensions,fixed_nominal,1.810771
unanticipated,tax_cut,taylor,1.164439
unanticipated,tax_cut,fixed_real,1.424832
unanticipated,tax_cut,fixed_nominal,1.766460
